date,year,month,area_t0,area_t005,area_t0_norm,area_t005_norm,area_veg,ndbi_mean,ndbi_std,ndvi_mean
2019-01-17,2019,1,368.7,268.7,402.8,297.0,78.7,0.052,0.0798,0.162
2019-01-25,2019,1,376.2,290.8,411.4,303.8,89.5,0.0668,0.0816,0.1744
2019-01-27,2019,1,418.8,303.1,403.3,298.8,52.6,0.0555,0.0672,0.1513
2019-02-16,2019,2,358.3,268.1,401.4,307.7,96.7,0.0501,0.0848,0.1782
2019-02-26,2019,2,428.1,302.2,406.4,317.5,54.9,0.0469,0.0706,0.1499
2019-03-03,2019,3,348.6,250.4,410.6,321.1,107.8,0.0357,0.0904,0.1851
2019-03-13,2019,3,414.2,298.0,408.1,328.6,74.7,0.0434,0.0791,0.1636
2019-03-16,2019,3,381.2,275.9,418.4,340.0,94.9,0.0395,0.087,0.18
2019-04-12,2019,4,195.7,129.9,386.4,330.2,238.7,-0.0148,0.1126,0.2767
2019-05-05,2019,5,181.9,127.4,395.2,337.1,257.7,-0.0156,0.1156,0.2883
2019-05-07,2019,5,168.0,107.7,380.6,322.9,266.4,-0.0288,0.1091,0.2916
2019-05-10,2019,5,190.0,132.7,393.4,332.6,236.5,-0.0084,0.1087,0.2724
2019-05-12,2019,5,210.5,152.3,382.9,322.8,234.8,0.0024,0.0999,0.2675
2019-05-15,2019,5,221.1,171.1,396.8,335.6,222.0,0.0201,0.1064,0.2609
2019-05-20,2019,5,233.1,177.9,398.0,332.6,204.4,0.0217,0.1079,0.2493
2019-05-25,2019,5,223.6,167.2,413.4,327.7,209.8,0.0176,0.1056,0.2533
2019-05-27,2019,5,212.4,147.6,384.5,316.6,222.2,0.0022,0.0976,0.2585
2019-05-30,2019,5,240.9,194.6,399.5,332.9,207.3,0.0364,0.1037,0.2504
2019-06-14,2019,6,230.5,185.5,405.4,338.2,214.4,0.0364,0.109,0.2552
2019-06-16,2019,6,215.4,149.0,384.8,315.2,208.0,0.0074,0.0908,0.2515
2019-06-21,2019,6,242.8,176.8,385.3,316.7,190.3,0.0206,0.0853,0.2389
2019-07-01,2019,7,255.4,194.0,386.2,315.1,195.0,0.0305,0.0897,0.2362
2019-07-04,2019,7,257.3,204.1,407.3,336.0,173.2,0.0417,0.1001,0.2311
2019-07-06,2019,7,248.0,174.3,384.6,312.9,177.2,0.0193,0.0865,0.23
2019-07-09,2019,7,318.8,223.0,407.6,305.1,76.2,0.0402,0.0884,0.184
2019-07-11,2019,7,252.9,182.5,386.1,314.5,182.5,0.0251,0.085,0.2328
2019-07-14,2019,7,280.9,225.7,410.4,334.5,152.1,0.0496,0.0934,0.2197
2019-07-16,2019,7,232.2,153.9,385.6,312.9,184.4,0.013,0.0869,0.2359
2019-07-19,2019,7,284.8,224.8,407.1,329.4,141.0,0.0477,0.0932,0.2156
2019-07-21,2019,7,301.3,226.6,389.7,317.0,131.2,0.0402,0.0759,0.2064
2019-07-24,2019,7,308.2,253.5,407.7,331.8,126.5,0.0574,0.0841,0.2066
2019-07-26,2019,7,240.0,152.0,387.8,313.0,167.3,0.012,0.0838,0.229
